,0
0,0
1,0
2,1
3,1
4,1
5,0
6,0
7,0
8,0
9,0
10,1
11,1
12,1
13,1
14,1
15,0
16,0
17,1
18,1
19,0
20,1
21,1
22,1
23,1
24,1
25,0
26,0
27,1
28,1
29,0
30,0
31,1
32,1
33,1
34,0
35,0
36,1
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,1
48,1
49,0
50,0
51,1
52,1
53,1
54,1
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,0
64,0
65,0
66,0
67,1
68,1
69,0
70,0
71,0
72,1
73,1
74,0
75,0
76,0
77,0
78,0
79,1
80,0
81,1
82,0
83,1
84,0
85,1
86,1
87,1
88,1
89,0
90,0
91,1
92,0
93,1
94,1
95,1
96,1
97,1
98,1
99,0
100,1
101,0
102,1
103,1
104,0
105,1
106,0
107,1
108,0
109,0
110,0
111,1
112,0
113,0
114,0
115,1
116,0
117,1
118,0
119,1
120,1
121,1
122,1
123,1
124,0
125,0
126,0
127,0
128,1
129,0
130,1
131,0
132,1
133,1
134,0
135,0
136,0
137,0
138,0
139,1
140,0
141,0
142,0
143,1
144,0
145,1
146,0
147,1
148,1
149,0
150,1
151,1
152,0
153,0
154,0
155,1
156,0
157,0
158,1
159,0
160,0
161,1
162,0
163,1
164,0
165,0
166,1
167,1
168,0
169,0
170,1
171,1
172,1
173,0
174,1
175,1
176,0
177,0
178,1
179,1
180,0
181,0
182,0
183,0
184,1
185,0
186,0
187,1
188,1
189,0
190,0
191,1
192,0
193,0
194,1
195,0
196,1
197,0
198,0
199,0
